Sample	Input_R1	Input_R2	IP_R1	IP_R2
CPCG0246	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0246_S3_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0246_S3_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0246_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0246_IP_R2.fastq.gz
CPCG0248	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0248_S4_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0248_S4_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0248_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0248_IP_R2.fastq.gz
CPCG0249	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0249_S5_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0249_S5_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0249_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0249_IP_R2.fastq.gz
CPCG0250	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0250_S6_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0250_S6_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0250_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0250_IP_R2.fastq.gz
CPCG0251	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0251_S6_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0251_S6_L002_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/RIP-CPCG0251_S8_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/RIP-CPCG0251_S8_L002_R2_001.fastq.gz
CPCG0255	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L3-S07D/INPUT-CPCG0255_S1_L003_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L3-S07D/INPUT-CPCG0255_S1_L003_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L3-S07D/RIP-CPCG0255_S4_L003_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L3-S07D/RIP-CPCG0255_S4_L003_R2_001.fastq.gz
CPCG0256	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0256_S7_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_BHW7Y2CCXY/L1-SR18508/InputCPC0256_S7_L001_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0256_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0256_IP_R2.fastq.gz
CPCG0258	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0258_S2_L002_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L2-S07D/INPUT-CPCG0258_S2_L002_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0258_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0258_IP_R2.fastq.gz
CPCG0259	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200228_X3_BH7HGHCCX2/L5-S07D/INPUT-CPCG0259_S7_L005_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200228_X3_BH7HGHCCX2/L5-S07D/INPUT-CPCG0259_S7_L005_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0259_S7_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200229_CPC_m6A_MeRIP_batch_11/S07D_20200229_X1_BH3MM3CCX2/L1-S07D/RIP-CPCG0259_S7_L001_R2_001.fastq.gz
CPCG0263	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0263_S1_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0263_S1_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0263_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0263_IP_R2.fastq.gz
CPCG0266	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0266_S2_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0266_S2_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0266_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0266_IP_R2.fastq.gz
CPCG0267	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/InputCPC0267_S5_L001_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190412_CPC_m6A_MeRIP_3IP_21Input_batch_4/L1-SR18508/InputCPC0267_S5_L001_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190102_CPC_m6A_MeRIP_5IP_batch_1/CPC0267_S2_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190102_CPC_m6A_MeRIP_5IP_batch_1/CPC0267_S2_L006_R2_001.fastq.gz
CPCG0269	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0269_S3_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0269_S3_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0269_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0269_IP_R2.fastq.gz
CPCG0271	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200220_CPC_m6A_MeRIP_16IP_16Input_batch_10/S07B_20200220_X5_AH5YGNCCX2/L3-S07B/INPUT-CPCG0271_S1_L003_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200220_CPC_m6A_MeRIP_16IP_16Input_batch_10/S07B_20200220_X5_AH5YGNCCX2/L3-S07B/INPUT-CPCG0271_S1_L003_R2_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200220_CPC_m6A_MeRIP_16IP_16Input_batch_10/S07B_20200220_X5_AH5YGNCCX2/L4-S07B/RIP-CPCG0271_S1_L004_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/200220_CPC_m6A_MeRIP_16IP_16Input_batch_10/S07B_20200220_X5_AH5YGNCCX2/L4-S07B/RIP-CPCG0271_S1_L004_R2_001.fastq.gz
CPCG0324	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0324_S4_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0324_S4_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0324_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0324_IP_R2.fastq.gz
CPCG0331	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0331_S5_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0331_S5_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0331_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0331_IP_R2.fastq.gz
CPCG0333	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0333_S6_L006_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190611_CPC_m6A_MeRIP_30Input_batch_7/SR18508_20190329_X2_AHW7V2CCXY/L6-SR18508/Input-CPC-0333_S6_L006_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0333_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0333_IP_R2.fastq.gz
CPCG0334	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_40Input_batch_5/L8-SR18508/InputCPC0334_S7_L008_R1_001.fastq.gz	/cluster/home/helenzhu/hansengroup/Helab_Raw_Sequencing_Data_Hub/2019_CPC-GENE_m6A_MeRIP-seq/190522_CPC_m6A_MeRIP_40Input_batch_5/L8-SR18508/InputCPC0334_S7_L008_R2_001.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0334_IP_R1.fastq.gz	/cluster/home/helenzhu/Cluster_Helen/Snakemake_CPCGENE_m6A/Merged_FASTQs/CPCG0334_IP_R2.fastq.gz
